	A_1_A	A_2_A	A_3_A	A_4_A	A_5_A	A_6_A	A4_1_A	A4_2_A	A4_3_A	A4_4_A	A4_5_A	A4_6_A	A6_1_A	A6_2_A	A6_3_A	A6_4_A	A6_5_A	A6_6_A	AM_1_A	AM_2_A	AM_3_A	AM_4_A	AM_5_A	AM_6_A	W_1_A	W_2_A	W_3_A	W_4_A	W_5_A	W_6_A
OTU_10861	162116	244699	63508	143092	41062	57542	315446	357161	363717	383325	365760	275847	258358	286474	243887	263073	235630	244310	251858	263690	251464	286734	244998	250671	14292	45439	128753	81743	35457	58813
OTU_14535	7652	37	25	813	128	11956	111297	81175	77234	66567	84129	35567	163581	169514	230180	192191	221811	219434	194790	143419	195050	76012	207925	177140	48	170	12296	49	64	83
OTU_10993	9083	11944	5434	7288	5393	6116	42155	48472	49063	51747	48527	36656	33949	37739	32218	35157	30711	32230	33740	35779	33520	38831	33065	34036	1787	5970	17084	10886	4708	7705
OTU_10860	36473	19307	20526	43692	18260	27163	9673	13597	12844	14277	11506	8576	10269	8193	7643	8070	6970	7879	6984	7496	7325	8287	6651	7070	39213	27828	14594	20448	21564	23692
OTU_11197	16043	13888	52610	16469	33740	5424	474	807	590	652	755	374	262	281	202	237	207	247	238	264	276	286	206	249	46180	56751	36204	71699	32376	94200
OTU_10867	35468	58341	14150	40746	1956	5759	14635	16543	16947	17822	16986	12813	12020	13297	11284	12248	11045	11334	11698	12319	11685	13100	11450	11561	698	2196	5946	3835	1709	2759
OTU_11764	8647	4924	59834	9667	69891	112999	1098	815	288	1152	440	64	7971	7977	1866	4118	4421	3950	174	22	25	13	19	196	25285	3412	11993	14068	1539	4724
OTU_11497	9937	13191	43843	65313	65907	5981	681	433	454	606	661	233	222	211	201	225	221	225	222	249	249	142	203	192	3465	23086	23047	17323	23528	37666
OTU_8297	18317	10702	17588	15895	14611	19293	1597	1853	825	1015	1831	2468	1956	1178	536	1001	904	789	2716	2712	1633	1402	1477	1494	45270	20108	31354	16310	28881	23330
OTU_1741	8908	33	11334	1349	134	3188	9381	11094	14241	6304	15764	17289	13628	9738	2810	7770	6557	5262	14676	17191	4817	38569	9880	18327	2355	121	542	396	145	96
