sample	pH	OM	AHN	AP	AK	TN	TP	TK
NLJ20-1	5.67	30.48	139.89	523.84	428.07	1.63	3.07	12.35
NLJ20-2	6.6	19.89	87.43	38.48	627.77	1.05	1.18	15.21
NLJ20-3	5.25	30.19	128.73	260.03	498.93	1.59	1.7	14.74
NLJ20-4	6.22	25.72	116.67	208	647.09	1.35	1.42	15.52
NLJ20-5	5.62	28.7	126.59	384.79	692.19	1.65	2.33	15.8
NLJ20-6	5.16	27.64	137.99	245.84	346.09	1.43	1.28	8.62
NLJ3-1	5.22	29.26	118.34	100.22	836.65	1.47	1.04	11.4
NLJ3-2	4.88	20.52	100.54	5.38	778.08	1.21	0.74	14.27
NLJ3-3	5.99	35.75	137.65	101.16	451.69	2.79	1.14	10.65
NLJ3-4	5.38	37.07	162.48	112.51	565.49	1.74	1.11	14.23
NLJ3-5	4.9	25.99	159.18	100.22	392.26	1.63	1.27	15.52
NLJ3-6	5.5	35.24	150.61	330.87	341.8	1.91	2.08	18.27
NLJ5-1	6	31.56	135.16	295.02	425.92	1.33	1.46	15.5
NLJ5-2	5.5	28.55	124.09	168.27	651.39	1.64	1.27	29.57
NLJ5-3	4.84	24.35	144.48	62.79	368.64	1.34	0.94	33.37
NLJ5-4	5.58	41.51	195.11	411.28	717.95	2.11	1.98	15.53
NLJ5-5	4.85	25.29	124.16	101.16	345.02	1.24	1.15	27.08
NLJ5-6	5.85	23.2	100.35	36.11	582.67	1.12	0.95	14.15
BQ20-3	6.05	11.52	73.44	197.12	1122.24	0.68	1.03	19.48
BQ20-4	8.1	6.72	36.45	46.94	1145.32	0.49	1.28	21.57
BQ20-5	7.72	12	59.85	45.44	771.64	0.62	0.93	16.44
BQ20-6	8.08	9.31	39.07	62.57	882.28	0.45	0.66	15.38
TD20-1	6.36	31.26	111.51	151.72	724.4	1.49	1.16	13.74
TD20-2	7.03	34.79	150.92	74.9	1334.97	1.89	1.26	15.19
TD20-3	5.07	16.64	73.35	235.34	664.27	0.89	0.91	18.5
TD20-4	5.32	34.06	162.47	115.78	1246.11	1.76	1.17	14.92
TD20-5	4.98	39	163.11	361.14	1021.85	1.93	1.58	13.33
TD20-6	5.6	26.29	110.23	65.46	596.63	1.48	1.21	10.49
TD5-1	5.66	35.69	166.92	21.23	593.41	2.53	1.11	15.59
TD5-2	5.34	39.62	192.51	98.28	828.6	2.76	1.59	15.67
TD5-3	5.84	22.75	100.66	7.79	698.63	2.29	0.89	17.06
TD5-4	5.34	27.9	159.61	27.32	713.66	2.53	0.8	12.59
TD5-5	5.06	33.29	191.45	100.64	1188.27	2.84	0.94	11.2
TD5-6	5.18	45.39	220.44	123.34	1181.65	3.24	1.99	15.13
