	JBSF	MSZS	DQJBJS	LBEJS	XCS	KFS	DXS	XLS	DXDS	AWS	SYS	BJS	RGS	total	Trichoderma	Preussia	Arcuadendron	Penicillium1	Penicillium2
BQ20-3	0.0008	0.0104	0.0117	0.0042	0.009	0.0014	0.0029	0.0159	0.0964	0.0004	0.0076	0.0049	0.0433	0.2089	1	32	2	671	1
BQ20-4	0.0004	0.0051	0.0075	0.0039	0.0024	0	0	0.0091	0.0246	0	0.0005	0.0029	0.6344	0.6907	0	174	0	9	3
BQ20-5	0.0004	0.0058	0.0112	0.0042	0.0055	0.0011	0.002	0.0136	0.0657	0	0.006	0.004	0.6037	0.7232	1	341	0	8	1
BQ20-6	0.0003	0.0043	0.0085	0.0038	0.0032	0.0006	0.0001	0.0092	0.0213	0	0.0002	0.0032	0.0514	0.1059	1	20	0	702	0
NLJ20-1	0.0031	0	0.021	0.0088	0.0192	0.0045	0.0092	0.0227	0.1324	0.0047	0.022	0.0086	0	0.2562	0	1	5	3	0
NLJ20-2	0.0022	0	0.0205	0.0067	0.0157	0.0016	0.0059	0.0205	0.0907	0.0029	0.0415	0.0066	0	0.215	3	40	54	8	0
NLJ20-3	0.0026	0.0105	0.0241	0.009	0	0.048	0.0107	0.0281	0.2469	0.0095	0.0425	0.0122	0	0.4441	3	0	3	39	0
NLJ20-4	0.0049	0.0138	0.0244	0.0094	0	0.0484	0.0109	0.0077	0.0857	0.0052	0.0157	0.0075	0.017	0.2507	1	1	7	151	1
NLJ20-5	0	0.0029	0.0247	0.01	0.0152	0.0031	0.006	0.0139	0.0754	0.0019	0.0204	0.0081	0	0.1816	1	0	11	23	0
NLJ20-6	0.0012	0.0019	0.0225	0.0096	0.0212	0.0027	0.0102	0.0184	0.1411	0.0071	0.0425	0.0149	0	0.2934	0	0	3	2	0
NLJ3-1	0.0019	0.0013	0.0215	0.0095	0.0207	0	0.0076	0.0223	0.1022	0.0045	0.0108	0.0057	0.1694	0.3773	0	1	1	34	0
NLJ3-2	0.0011	0	0.0138	0.0055	0.0099	0.0014	0.0041	0.0183	0.0819	0.0074	0.0088	0.0046	0.4694	0.6262	0	0	0	6	0
NLJ3-3	0.0272	0.0015	0.0211	0.0082	0.0203	0.0022	0.0079	0.0231	0.1027	0.0017	0.0377	0.0073	0	0.2609	0	0	5	9	0
NLJ3-4	0.0018	0	0.0187	0.0076	0.0172	0.0032	0.0079	0.0255	0.0993	0.0052	0.0109	0.0064	0.2201	0.4236	0	2	0	5	0
NLJ3-5	0.0248	0.0013	0.0198	0.0085	0.0217	0	0.0084	0.0248	0.1234	0.0031	0.0157	0.0066	0.1766	0.4347	0	0	0	37	0
NLJ3-6	0.002	0	0.0245	0.0089	0.0201	0.0026	0.0087	0.0237	0.1091	0.0019	0.0132	0.0085	0.4138	0.6371	1	0	0	4	0
NLJ5-1	0.0015	0.001	0.021	0.0086	0.0202	0.0016	0.0108	0.0209	0.1637	0.0129	0.023	0.0123	0.3316	0.6291	0	0	0	70	0
NLJ5-2	0.0009	0.0021	0.0194	0.0077	0.0211	0.0027	0.0104	0.02	0.1225	0.0134	0.0157	0.0072	0.2158	0.459	3	0	1	37	0
NLJ5-3	0.0016	0.001	0.0205	0.0069	0.0163	0.0011	0.0057	0.0173	0.1088	0.011	0.0106	0.0064	0.3554	0.5625	1	1	1	180	0
NLJ5-4	0.0044	0.0044	0.029	0.0092	0.0279	0.0032	0.0146	0.0216	0.1355	0.0117	0.042	0.0111	0	0.3146	0	0	2	97	0
NLJ5-5	0.0014	0.0192	0.0221	0.0068	0.0188	0.0027	0.007	0.0192	0.0914	0.0074	0.0041	0.0061	0.0805	0.2869	0	0	1	7	0
NLJ5-6	0.0013	0.0124	0.0189	0.0081	0.0135	0.0018	0.0059	0.0165	0.11	0.0066	0.0121	0.0066	0.5204	0.7341	1	0	0	3	0
TD20-1	0.0006	0	0.0276	0.0081	0.0198	0.0021	0.0088	0.0226	0.0791	0	0.0144	0.0079	0.0027	0.1935	39	38	0	16	1
TD20-2	0.0014	0	0.0272	0.0093	0.0247	0.0035	0.012	0.0255	0.2433	0.0035	0.0175	0.0086	0	0.3763	11	622	0	8	0
TD20-3	0.0005	0.009	0.0188	0.0066	0.0129	0.0024	0.0056	0.017	0.0642	0	0.0119	0.0055	0.168	0.3223	28	8	0	91	0
TD20-4	0.0008	0.0106	0.0244	0.0078	0.0175	0.0026	0.0101	0.0218	0.048	0	0.0143	0.0069	0.1067	0.2715	65	6	0	54	0
TD20-5	0.0015	0	0.023	0.0337	0.0196	0.0018	0.0093	0.02	0.0703	0	0.0039	0.0071	0	0.1902	45	28	1	24	0
TD20-6	0.0007	0	0.0314	0.0107	0.0206	0.0031	0.01	0.0209	0.0645	0	0.0059	0.0071	0.0031	0.1782	1	15	2	6	0
TD5-1	0.0035	0	0.02	0.0065	0.0223	0.0097	0.0092	0.0267	0.0474	0.0073	0.0021	0.0083	0.1539	0.3169	2	7	0	4	0
TD5-2	0.002	0	0.021	0.0069	0.0201	0.006	0.0103	0.0235	0.0536	0	0.0047	0.0068	0.5069	0.6618	5	9	0	16	0
TD5-3	0.0012	0.0195	0.0146	0.0043	0.0152	0.0027	0.0051	0.0175	0.0343	0	0.0009	0.0049	0.0498	0.1699	3	30	0	3	0
TD5-4	0.0006	0	0.0231	0.0076	0.0238	0.0051	0.0114	0.0255	0.0678	0.0012	0.0109	0.0095	0.0845	0.2709	3	36	0	1	0
TD5-5	0.0008	0	0.0266	0.0075	0.035	0.0048	0.0128	0.0313	0.0743	0.0007	0.0324	0.0184	0.0777	0.3223	0	27	0	3	0
TD5-6	0.0009	0	0.0257	0.0077	0.0173	0.0032	0.008	0.0234	0.0828	0	0.0302	0.0069	0.5217	0.7277	0	14	0	14	0
